title,icon,installs,reviews,size,content_rating,free,price,iap,android_version,len_title,main_category,category,iap_min,iap_max,updateDays,rating_class,rating
"Ulta Beauty: Shop Makeup, Skin, Hair & Perfume",https://lh3.googleusercontent.com/_TJTWJgxKdfMhv5SlUXqQY1CJwP3UTQfq11Wz6EJYM1c1f1wGlxYQQJTXfqTkzbmZM-x,1000000,67939,34.0,1,1,0.0,0,0,46,2,BEAUTY,0.0,0.0,-4,1,4.7
Sally's world,https://lh3.googleusercontent.com/75XM_iyMTlkiRpS8UOht7KNmYhFs6W34z6mLBgMdDhh2nIkD1Mp0BNL2JOyrQ0glNFw,50000,1111,3.2,1,1,0.0,0,3,13,12,FOOD_AND_DRINK,0.0,0.0,-13,1,4.7
Barclays US,https://lh3.googleusercontent.com/SrAKOaT1ZD7cijg0MTxnV2_lhRq9Is8jchriGPMc28pQpq2tu2DO6OpLnnnosonBxw,1000000,8979,13.0,1,1,0.0,0,3,11,11,FINANCE,0.0,0.0,-2,0,3.9
"Free Music Download, Music Player, MP3 Downloader",https://lh3.googleusercontent.com/akJ5M2yD2kshkeJqunJ0Umz4nXmWdxx3sua4SjVMUmu5srJb05XMXqOPcu_VReh5PQw,50000000,281792,12.0,4,1,0.0,1,1,49,20,MUSIC_AND_AUDIO,0.99,99.99,-12,0,4.0
Starbucks,https://lh3.googleusercontent.com/bbCPDis_RJaXGvtOBdyoax0fAZF8d123WKLwbvodzIzp6tD4xoV1zWAsVeLRL29MQw,10000000,553993,33.0,1,1,0.0,0,3,9,12,FOOD_AND_DRINK,0.0,0.0,-21,1,4.6
Allegiant,https://lh3.googleusercontent.com/wc0zdmDmkzAHo6sqnxAcVVqbrSPSZGIX7frfm6Z4jWHW4ge_26G0UgYPQkJc8yTsdkw,1000000,6923,22.0,1,1,0.0,0,3,9,30,TRAVEL_AND_LOCAL,0.0,0.0,-3,1,4.4
myAT&T,https://lh3.googleusercontent.com/ggNZIm3f0lESd4GEu2azjLlN-mzlCTc1lqoRUcpwENSKUE3wH5eg0sYocAZ8eiswNw,50000000,134658,52.0,1,1,0.0,0,1,6,25,PRODUCTIVITY,0.0,0.0,-4,0,3.7
Moto Display,https://lh3.googleusercontent.com/7VUEzqGg6W0l7N5X8MROD606kUNi1zo3IJg4Z4s0cZoTdfVNWkmoZbWVkdJoCeMvhMM,100000000,43486,10.993586956521739,1,1,0.0,0,0,12,29,TOOLS,0.0,0.0,-186,1,4.4
BQ Camera,https://lh3.googleusercontent.com/ePxca9QwgezoalRGWgwLdsF9powqj9cKhuFAAfHrpiSE7SkNJKipH9qZTkBP-Z3dYg,1000000,3219,25.74569072164949,1,1,0.0,0,1,9,24,PHOTOGRAPHY,0.0,0.0,-133,0,2.6
"Video Maker from Photos, Music & video editor",https://lh3.googleusercontent.com/0enK8TKgCxKVauiUr4jg2Js98MnI_hINjtRCcwqWcinvEXJTky9XNC6A4tpyvTcRsME,5000000,58338,20.0,1,1,0.0,0,1,45,31,VIDEO_PLAYERS,0.0,0.0,-341,1,4.6
